# Generated on linux x64
# Linux 4.14.268-205.500.amzn2.x86_64 #1 SMP Wed Mar 2 18:38:38 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
# awtKeyCode,jnhKeyCode,jnhRawCode
10,28,65293
8,14,65288
9,15,65289
3,65400,65385
12,-1,-1
16,42,65505
17,29,65507
18,56,65513
19,3653,65299
20,58,65509
27,1,65307
32,57,32
33,3657,65365
34,3665,65366
35,3663,65367
36,3655,65360
37,57419,65361
38,57416,65362
39,57421,65363
40,57424,65364
44,51,44
45,12,45
46,52,46
47,53,47
48,11,48
49,2,49
50,3,50
51,4,51
52,5,52
53,6,53
54,7,54
55,8,55
56,9,56
57,10,57
59,39,59
61,13,61
65,30,65
66,48,66
67,46,67
68,32,68
69,18,69
70,33,70
71,34,71
72,35,72
73,23,73
74,36,74
75,37,75
76,38,76
77,50,77
78,49,78
79,24,79
80,25,80
81,16,81
82,19,82
83,31,83
84,20,84
85,22,85
86,47,86
87,17,87
88,45,88
89,21,89
90,44,90
91,26,91
92,43,92
93,27,93
96,3666,65438
97,3663,65436
98,57424,65433
99,3665,65435
100,57419,65430
101,57420,65437
102,57421,65432
103,3655,65429
104,57416,65431
105,3657,65434
106,3639,65450
107,3662,65451
108,-1,-1
108,-1,-1
109,3658,65453
110,0,65454
111,53,65455
127,3667,65535
144,69,65407
145,70,65300
112,59,65470
113,60,65471
114,61,65472
115,62,65473
116,63,65474
117,64,65475
118,65,65476
119,66,65477
120,67,65478
121,68,65479
122,87,65480
123,88,65481
61440,0,0
61441,0,0
61442,0,0
61443,0,0
61444,0,0
61445,0,0
61446,0,0
61447,0,0
61448,0,0
61449,0,0
61450,0,0
61451,0,0
154,3639,65377
155,3666,65379
156,65397,65386
157,56,65513
192,41,96
222,40,39
224,9,65464
225,3,65458
226,5,65460
227,7,65462
128,-1,-1
129,-1,-1
130,-1,-1
131,-1,-1
132,-1,-1
133,-1,-1
134,-1,-1
135,-1,-1
136,-1,-1
137,-1,-1
138,-1,-1
139,-1,-1
140,-1,-1
141,-1,-1
142,-1,-1
143,-1,-1
150,8,55
151,9,56
152,40,39
153,0,60
160,52,46
161,26,91
162,27,93
512,3,50
513,39,59
514,7,54
515,5,52
516,0,0
517,2,49
518,-1,-1
519,0,40
520,4,51
521,13,61
522,0,41
523,12,45
524,0,0
525,0,0
24,0,0
28,-1,-1
29,0,65314
30,-1,-1
31,0,0
21,-1,-1
25,-1,-1
240,-1,-1
241,112,65318
242,123,65317
243,-1,-1
244,-1,-1
245,-1,-1
256,-1,-1
257,-1,-1
258,-1,-1
259,112,65318
260,123,65317
261,-1,-1
262,-1,-1
263,121,65315
65489,-1,-1
65485,-1,-1
65487,-1,-1
65483,65402,65381
65481,65401,65382
65488,65406,65384
65482,-1,-1
65480,87,65480
65312,-1,-1
65406,0,65027
65368,-1,-1
