# Generated on macOS Monterey 12.3.1
# awtKeyCode,jnhKeyCode,jnhRawCode
10,28,36
8,14,51
9,15,48
3,-1,-1
12,69,71
16,42,56
17,29,59
18,56,58
19,-1,-1
20,-1,-1
27,1,53
32,57,49
33,3657,116
34,3665,121
35,3663,119
36,3655,115
37,57419,123
38,57416,126
39,57421,124
40,57424,125
44,51,43
45,12,27
46,52,47
47,53,44
48,11,29
49,2,18
50,3,19
51,4,20
52,5,21
53,6,23
54,7,22
55,8,26
56,9,28
57,10,25
59,39,41
61,13,24
65,30,0
66,48,11
67,46,8
68,32,2
69,18,14
70,33,3
71,34,5
72,35,4
73,23,34
74,36,38
75,37,40
76,38,37
77,50,46
78,49,45
79,24,31
80,25,35
81,16,12
82,19,15
83,31,1
84,20,17
85,22,32
86,47,9
87,17,13
88,45,7
89,21,16
90,44,6
91,26,33
92,43,42
93,27,30
96,11,82
97,2,83
98,3,84
99,4,85
100,5,86
101,6,87
102,7,88
103,8,89
104,9,91
105,10,92
106,3639,67
107,3662,69
108,-1,-1
108,-1,-1
109,3658,78
110,83,65
111,53,75
127,3667,117
144,-1,-1
145,-1,-1
112,59,122
113,60,120
114,61,99
115,62,118
116,63,96
117,64,97
118,65,98
119,66,100
120,67,101
121,68,109
122,87,103
123,88,111
61440,91,105
61441,92,107
61442,93,113
61443,99,106
61444,100,64
61445,101,79
61446,102,80
61447,103,90
61448,-1,-1
61449,-1,-1
61450,-1,-1
61451,-1,-1
154,-1,-1
155,-1,-1
156,3666,114
157,3675,55
192,41,50
222,40,39
224,-1,-1
225,-1,-1
226,-1,-1
227,-1,-1
128,-1,-1
129,-1,-1
130,-1,-1
131,-1,-1
132,-1,-1
133,-1,-1
134,-1,-1
135,-1,-1
136,-1,-1
137,-1,-1
138,-1,-1
139,-1,-1
140,-1,-1
141,-1,-1
142,-1,-1
143,-1,-1
150,-1,-1
151,-1,-1
152,-1,-1
153,-1,-1
160,-1,-1
161,-1,-1
162,-1,-1
512,-1,-1
513,-1,-1
514,-1,-1
515,-1,-1
516,-1,-1
517,-1,-1
518,-1,-1
519,-1,-1
520,-1,-1
521,-1,-1
522,-1,-1
523,-1,-1
524,-1,-1
525,-1,-1
24,-1,-1
28,-1,-1
29,-1,-1
30,-1,-1
31,-1,-1
21,-1,-1
25,-1,-1
240,-1,-1
241,-1,-1
242,-1,-1
243,-1,-1
244,-1,-1
245,-1,-1
256,-1,-1
257,-1,-1
258,-1,-1
259,-1,-1
260,-1,-1
261,-1,-1
262,-1,-1
263,-1,-1
65489,-1,-1
65485,-1,-1
65487,-1,-1
65483,-1,-1
65481,-1,-1
65488,-1,-1
65482,-1,-1
65480,-1,-1
65312,-1,-1
65406,56,61
65368,-1,-1
