# awtKeyCode,jnhKeyCode,jnhRawCode
10,28,13
8,14,8
9,15,9
3,0,3
12,57420,12
16,42,160
16,161,3638
17,29,162
17,163,29
18,56,164
18,165,56
19,3653,19
20,58,20
27,1,27
32,57,32
33,3657,33
34,3665,34
35,3663,35
36,3655,36
37,57419,37
38,57416,38
39,57421,39
40,57424,40
44,51,188
45,12,189
46,52,190
47,53,191
48,11,48
49,2,49
50,3,50
51,4,51
52,5,52
53,6,53
54,7,54
55,8,55
56,9,56
57,10,57
59,39,186
61,13,187
65,30,65
66,48,66
67,46,67
68,32,68
69,18,69
70,33,70
71,34,71
72,35,72
73,23,73
74,36,74
75,37,75
76,38,76
77,50,77
78,49,78
79,24,79
80,25,80
81,16,81
82,19,82
83,31,83
84,20,84
85,22,85
86,47,86
87,17,87
88,45,88
89,21,89
90,44,90
91,26,219
92,43,220
93,27,221
96,11,96
97,2,97
98,3,98
99,4,99
100,5,100
101,6,101
102,7,102
103,8,103
104,9,104
105,10,105
106,3639,106
107,3662,107
108,0,108
108,0,108
109,3658,109
110,83,110
111,53,111
127,3667,46
144,69,144
145,70,145
112,59,112
113,60,113
114,61,114
115,62,115
116,63,116
117,64,117
118,65,118
119,66,119
120,67,120
121,68,121
122,87,122
123,88,123
61440,91,124
61441,92,125
61442,93,126
61443,99,127
61444,100,128
61445,101,129
61446,102,130
61447,103,131
61448,104,132
61449,105,133
61450,106,134
61451,107,135
154,3639,44
155,3666,45
156,0,47
192,41,192
222,40,222
524,3675,91
525,3677,93
28,0,28
29,0,29
240,0,240
241,0,241
242,0,242
243,0,244
244,0,243
245,0,245
256,0,28
257,0,28
258,0,240
263,121,25
65406,56,165
